Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:50:58.133,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:58.175,43.95,43.96,43.95,300.00,Sell
2023.04.24 13:50:58.175,43.95,43.96,43.95,300.00,Sell
2023.04.24 13:50:58.175,43.95,43.96,43.95,300.00,Sell
2023.04.24 13:50:58.226,43.96,43.97,43.96,900.00,Sell
2023.04.24 13:50:58.226,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:51:01.426,43.97,43.98,43.97,100.00,Sell
2023.04.24 13:51:01.688,43.97,43.98,43.98,500.00,Buy
2023.04.24 13:51:03.205,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:51:04.151,43.97,43.98,43.98,200.00,Buy
2023.04.24 13:51:05.269,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:51:05.269,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:51:05.592,43.98,43.99,43.99,400.00,Buy
2023.04.24 13:51:05.843,43.99,44.00,43.99,100.00,Sell
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,200.00,Buy
2023.04.24 13:51:08.578,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:09.334,43.99,43.99,43.99,161.00,Buy
2023.04.24 13:51:09.671,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:10.130,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:10.130,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:14.250,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:20.684,43.99,44.00,44.00,387.00,Buy
2023.04.24 13:51:20.684,43.99,44.00,44.00,200.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,200.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:20.696,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:51:24.024,43.99,44.00,44.00,500.00,Buy
2023.04.24 13:51:24.024,43.99,44.00,44.00,500.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,120.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:31.356,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:34.383,43.99,44.00,43.99,100.00,Sell
2023.04.24 13:51:34.383,43.99,44.00,43.99,100.00,Sell
2023.04.24 13:51:37.109,43.99,44.00,43.99,100.00,Sell
2023.04.24 13:51:37.964,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:37.964,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:37.964,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:37.964,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:37.964,43.98,43.99,43.99,298.00,Buy
2023.04.24 13:51:37.972,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:41.075,43.98,44.00,43.99,100.00,Buy/Sell
2023.04.24 13:51:41.075,43.98,44.00,43.99,100.00,Buy/Sell
2023.04.24 13:51:41.075,43.98,44.00,43.99,100.00,Buy/Sell
2023.04.24 13:51:43.214,43.99,43.99,43.99,100.00,Buy
2023.04.24 13:51:44.079,43.99,44.00,44.00,300.00,Buy
2023.04.24 13:51:49.370,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:51:49.370,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:51:54.874,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:51:55.470,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:51:59.717,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:51:59.717,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:51:59.717,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:51:59.717,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:52:06.523,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:52:07.648,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,43.99,100.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,43.99,100.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,43.99,139.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,43.99,126.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,44.00,101.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:52:11.191,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:52:11.376,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:52:12.142,44.00,44.01,44.01,200.00,Buy
2023.04.24 13:52:14.335,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:52:17.589,44.00,44.01,44.01,100.00,Buy
2023.04.24 13:52:17.589,44.00,44.01,44.01,100.00,Buy
2023.04.24 13:52:17.589,44.00,44.01,44.01,100.00,Buy
2023.04.24 13:52:18.427,44.00,44.01,44.01,398.00,Buy
2023.04.24 13:52:18.427,44.00,44.01,44.01,1602.00,Buy
2023.04.24 13:52:22.345,44.00,44.01,44.01,400.00,Buy
2023.04.24 13:52:26.058,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:52:26.058,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:52:26.058,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:52:34.434,44.00,44.01,44.01,100.00,Buy
2023.04.24 13:52:45.099,44.02,44.03,44.02,100.00,Sell
2023.04.24 13:52:45.137,44.02,44.03,44.02,200.00,Sell
2023.04.24 13:52:45.137,44.02,44.03,44.02,200.00,Sell
2023.04.24 13:52:45.137,44.02,44.03,44.02,100.00,Sell
2023.04.24 13:52:48.532,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:53:03.464,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:53:03.622,44.02,44.03,44.02,100.00,Sell
2023.04.24 13:53:04.738,44.03,44.04,44.03,100.00,Sell
2023.04.24 13:53:05.300,44.04,44.05,44.04,100.00,Sell
2023.04.24 13:53:05.300,44.04,44.05,44.04,100.00,Sell
2023.04.24 13:53:05.300,44.04,44.05,44.04,100.00,Sell
2023.04.24 13:53:06.289,44.05,44.06,44.05,100.00,Sell
